Model,en,ar,de,el,es,hi,ru,th,tr,vi,zh,ro,avg
Zero-shot mBERT,83.5 / 72.2,61.5 / 45.1,70.6 / 54.0,62.6 / 44.9,75.5 / 56.9,59.2 / 46.0,71.3 / 53.3,42.7 / 33.5,55.4 / 40.1,69.5 / 49.6,58.0 / 48.3,72.7 / 59.9,65.2 / 50.3
Zero-shot XLM-R Large,86.5 / 75.7,68.6 / 49.0,80.4 / 63.4,79.8 / 61.7,82.0 / 63.9,76.7 / 59.7,80.1 / 64.3,74.2 / 62.8,75.9 / 59.3,79.1 / 59.0,59.3 / 50.0,83.6 / 69.7,77.2 / 61.5
Translate-train mBERT,83.5 / 72.2,68.0 / 51.1,75.6 / 60.7,70.0 / 53.0,80.2 / 63.1,69.6 / 55.4,75.0 / 59.7,36.9 / 33.5,68.9 / 54.8,75.6 / 56.2,66.2 / 56.6,-,70.0 / 56.0
Translate-test BERT-L,87.9 / 77.1,73.7 / 58.8,79.8 / 66.7,79.4 / 65.5,82.0 / 68.4,74.9 / 60.1,79.9 / 66.7,64.6 / 50.0,67.4 / 49.6,76.3 / 61.5,73.7 / 59.1,-,76.3 / 62.1
